Supplier name,Supplier Code,Supplier Location,Contact person,Contact Email,Item number,Item Desc,Manufacturing location/plant name,Total monthly capacity (units),MOQ,Current committed capacity (units),Percentage allocation to company,Current Output volume (units),Lead time,Expedite Qnty possible,Expedite Lead time,Premium to expedite,Technical capabilities,Certifications
Supplier S,SUP-1045,India,Karthik Rao,contact1045@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",India/Mumbai,13346,105,9830,27.90%,9284,3,144,2 days,$1.35/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier S,SUP-1045,India,Rina Desai,contact1045@supplier.com,ITM-003,Nike Air Jordan Sneakers,India/Mumbai,12266,80,3704,14.90%,3475,12,463,1 days,$1.5/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier S,SUP-1045,India,Suresh Kumar,contact1045@supplier.com,ITM-004,KitchenAid Stand Mixer,India/Mumbai,25606,97,4221,15.80%,4198,7,451,2 days,$1.53/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier S,SUP-1045,India,Karthik Rao,contact1045@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,India/Mumbai,21315,157,7550,14.20%,7427,17,70,1 days,$1.98/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier T,SUP-1046,Taiwan,Suresh Kumar,contact1046@supplier.com,ITM-001,Apple iPhone 15 Pro,Taiwan/Taipei,17223,169,7670,24.40%,6719,14,279,2 days,$1.19/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier T,SUP-1046,Taiwan,Karthik Rao,contact1046@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Taiwan/Taipei,20963,176,13297,24.50%,12730,21,169,1 days,$1.6/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier T,SUP-1046,Taiwan,Suresh Kumar,contact1046@supplier.com,ITM-003,Nike Air Jordan Sneakers,Taiwan/Taipei,26815,152,13618,27.30%,13375,9,286,2 days,$1.68/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier T,SUP-1046,Taiwan,Rina Desai,contact1046@supplier.com,ITM-004,KitchenAid Stand Mixer,Taiwan/Taipei,15942,124,11988,28.90%,11394,4,81,1 days,$2.24/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier T,SUP-1046,Taiwan,Karthik Rao,contact1046@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Taiwan/Taipei,46943,97,20701,19.00%,20318,24,196,1 days,$2.18/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier U,SUP-1047,Japan,Suresh Kumar,contact1047@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Osaka,33381,88,22447,26.80%,22213,13,332,2 days,$1.74/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier U,SUP-1047,Japan,Rina Desai,contact1047@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Osaka,32004,175,24116,22.10%,23982,10,130,2 days,$1.32/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier U,SUP-1047,Japan,Rina Desai,contact1047@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Osaka,23179,70,10725,19.40%,10577,20,447,2 days,$1.85/pc,"Die Attach, AOI",ISO/TS 16949
Supplier U,SUP-1047,Japan,Suresh Kumar,contact1047@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Osaka,45253,52,16862,26.50%,16123,19,307,1 days,$2.22/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier U,SUP-1047,Japan,Karthik Rao,contact1047@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Osaka,20338,159,4862,26.30%,4644,4,452,1 days,$1.64/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier V,SUP-1048,India,Suresh Kumar,contact1048@supplier.com,ITM-001,Apple iPhone 15 Pro,India/Pune,34293,189,22912,17.10%,22634,23,99,1 days,$1.64/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier V,SUP-1048,India,Karthik Rao,contact1048@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",India/Pune,22273,81,2722,26.10%,1741,4,410,2 days,$1.79/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier V,SUP-1048,India,Sneha Patel,contact1048@supplier.com,ITM-003,Nike Air Jordan Sneakers,India/Pune,11942,130,9433,10.30%,9358,5,435,1 days,$1.66/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
Supplier V,SUP-1048,India,Sneha Patel,contact1048@supplier.com,ITM-004,KitchenAid Stand Mixer,India/Pune,14043,111,7010,11.30%,6416,23,265,1 days,$1.91/pc,"Die Attach, AOI",ISO/TS 16949
Supplier V,SUP-1048,India,Sneha Patel,contact1048@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,India/Pune,48915,166,13543,13.60%,13438,12,451,2 days,$1.16/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier W,SUP-1049,Japan,Karthik Rao,contact1049@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Osaka,24746,140,4986,28.20%,4242,6,273,2 days,$2.21/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier W,SUP-1049,Japan,Rina Desai,contact1049@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Osaka,20288,116,6777,15.70%,6301,24,353,1 days,$2.01/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier W,SUP-1049,Japan,Suresh Kumar,contact1049@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Osaka,10558,119,2207,24.60%,1763,7,313,1 days,$2.06/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier W,SUP-1049,Japan,Suresh Kumar,contact1049@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Osaka,49606,179,25666,23.10%,25294,7,247,1 days,$1.03/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier W,SUP-1049,Japan,Rina Desai,contact1049@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Osaka,41401,115,17958,19.70%,17524,20,379,1 days,$1.53/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier X,SUP-1050,Taiwan,Suresh Kumar,contact1050@supplier.com,ITM-001,Apple iPhone 15 Pro,Taiwan/Taipei,40998,85,7971,28.40%,7408,11,157,2 days,$1.07/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier X,SUP-1050,Taiwan,Sneha Patel,contact1050@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Taiwan/Taipei,18928,129,11667,21.60%,11583,10,272,1 days,$2.1/pc,"Die Attach, AOI",ISO/TS 16949
Supplier X,SUP-1050,Taiwan,Sneha Patel,contact1050@supplier.com,ITM-003,Nike Air Jordan Sneakers,Taiwan/Taipei,32627,120,21382,26.40%,20671,12,373,2 days,$2.1/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier X,SUP-1050,Taiwan,Sneha Patel,contact1050@supplier.com,ITM-004,KitchenAid Stand Mixer,Taiwan/Taipei,41390,55,19696,28.90%,18844,11,302,1 days,$1.64/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier X,SUP-1050,Taiwan,Sneha Patel,contact1050@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Taiwan/Taipei,13303,173,6546,20.10%,6275,3,435,2 days,$1.21/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
