PO number,GRN No.,Item number,Item Description,UoM,Qnty received,Supplier code,Received Location
PO-91352,GRN100112450,ITM-002,Thermal Paste,TUB,1266,SUP-1040,US/New York
PO-91353,GRN100112451,ITM-003,Capacitor 100uF,PCS,1808,SUP-1040,Philippines/Manila
PO-91354,GRN100112452,ITM-004,Silicone Sealant,TUB,1594,SUP-1040,Taiwan/Taipei
PO-91355,GRN100112453,ITM-005,Logic Chip,PCS,1579,SUP-1040,US/New York
PO-91356,GRN100112454,ITM-001,High Precision Resistor,PCS,1620,SUP-1041,Taiwan/Taipei
PO-91357,GRN100112455,ITM-002,Thermal Paste,TUB,1899,SUP-1041,Philippines/Manila
PO-91358,GRN100112456,ITM-003,Capacitor 100uF,PCS,944,SUP-1041,Philippines/Manila
PO-91359,GRN100112457,ITM-004,Silicone Sealant,TUB,1065,SUP-1041,US/New York
PO-91360,GRN100112458,ITM-005,Logic Chip,PCS,1413,SUP-1041,US/New York
PO-91361,GRN100112459,ITM-001,High Precision Resistor,PCS,1663,SUP-1042,Taiwan/Taipei
PO-91362,GRN100112460,ITM-002,Thermal Paste,TUB,632,SUP-1042,US/New York
PO-91363,GRN100112461,ITM-003,Capacitor 100uF,PCS,1581,SUP-1042,Philippines/Manila
PO-91364,GRN100112462,ITM-004,Silicone Sealant,TUB,917,SUP-1042,US/New York
PO-91365,GRN100112463,ITM-005,Logic Chip,PCS,1516,SUP-1042,Philippines/Manila
PO-91366,GRN100112464,ITM-001,High Precision Resistor,PCS,765,SUP-1043,Taiwan/Taipei
PO-91367,GRN100112465,ITM-002,Thermal Paste,TUB,1805,SUP-1043,Philippines/Manila
PO-91368,GRN100112466,ITM-003,Capacitor 100uF,PCS,801,SUP-1043,Philippines/Manila
PO-91369,GRN100112467,ITM-004,Silicone Sealant,TUB,621,SUP-1043,Philippines/Manila
PO-91370,GRN100112468,ITM-005,Logic Chip,PCS,1416,SUP-1043,Taiwan/Taipei
PO-91371,GRN100112469,ITM-001,High Precision Resistor,PCS,1005,SUP-1044,Taiwan/Taipei
PO-91372,GRN100112470,ITM-002,Thermal Paste,TUB,1886,SUP-1044,Taiwan/Taipei
PO-91373,GRN100112471,ITM-003,Capacitor 100uF,PCS,1684,SUP-1044,Philippines/Manila
PO-91374,GRN100112472,ITM-004,Silicone Sealant,TUB,1563,SUP-1044,Philippines/Manila
PO-91375,GRN100112473,ITM-005,Logic Chip,PCS,478,SUP-1044,Philippines/Manila
PO-91376,GRN100112474,ITM-001,High Precision Resistor,PCS,1344,SUP-1045,Philippines/Manila
PO-91377,GRN100112475,ITM-002,Thermal Paste,TUB,1917,SUP-1045,Philippines/Manila
PO-91378,GRN100112476,ITM-003,Capacitor 100uF,PCS,832,SUP-1045,US/New York
PO-91379,GRN100112477,ITM-004,Silicone Sealant,TUB,1463,SUP-1045,US/New York
PO-91380,GRN100112478,ITM-005,Logic Chip,PCS,703,SUP-1045,US/New York
PO-91381,GRN100112479,ITM-001,High Precision Resistor,PCS,594,SUP-1046,Taiwan/Taipei
PO-91382,GRN100112480,ITM-002,Thermal Paste,TUB,1354,SUP-1046,US/New York
PO-91383,GRN100112481,ITM-003,Capacitor 100uF,PCS,1801,SUP-1046,Philippines/Manila
PO-91384,GRN100112482,ITM-004,Silicone Sealant,TUB,1207,SUP-1046,Taiwan/Taipei
PO-91385,GRN100112483,ITM-005,Logic Chip,PCS,666,SUP-1046,Taiwan/Taipei
PO-91386,GRN100112484,ITM-001,High Precision Resistor,PCS,1481,SUP-1047,US/New York
PO-91387,GRN100112485,ITM-002,Thermal Paste,TUB,548,SUP-1047,US/New York
PO-91388,GRN100112486,ITM-003,Capacitor 100uF,PCS,1039,SUP-1047,Taiwan/Taipei
PO-91389,GRN100112487,ITM-004,Silicone Sealant,TUB,1661,SUP-1047,Taiwan/Taipei
PO-91390,GRN100112488,ITM-005,Logic Chip,PCS,1400,SUP-1047,Philippines/Manila
PO-91391,GRN100112489,ITM-001,High Precision Resistor,PCS,1043,SUP-1048,Taiwan/Taipei
PO-91392,GRN100112490,ITM-002,Thermal Paste,TUB,932,SUP-1048,Taiwan/Taipei
PO-91393,GRN100112491,ITM-003,Capacitor 100uF,PCS,1215,SUP-1048,Taiwan/Taipei
PO-91394,GRN100112492,ITM-004,Silicone Sealant,TUB,1259,SUP-1048,Taiwan/Taipei
PO-91395,GRN100112493,ITM-005,Logic Chip,PCS,1631,SUP-1048,Taiwan/Taipei
PO-91396,GRN100112494,ITM-001,High Precision Resistor,PCS,1061,SUP-1049,US/New York
PO-91397,GRN100112495,ITM-002,Thermal Paste,TUB,1245,SUP-1049,Taiwan/Taipei
PO-91398,GRN100112496,ITM-003,Capacitor 100uF,PCS,788,SUP-1049,Taiwan/Taipei
PO-91399,GRN100112497,ITM-004,Silicone Sealant,TUB,823,SUP-1049,US/New York
PO-91400,GRN100112498,ITM-005,Logic Chip,PCS,1825,SUP-1049,Taiwan/Taipei
PO-91401,GRN100112499,ITM-001,High Precision Resistor,PCS,943,SUP-1050,Taiwan/Taipei
PO-91402,GRN100112500,ITM-002,Thermal Paste,TUB,1677,SUP-1050,Philippines/Manila
PO-91403,GRN100112501,ITM-003,Capacitor 100uF,PCS,1683,SUP-1050,Taiwan/Taipei
PO-91404,GRN100112502,ITM-004,Silicone Sealant,TUB,1401,SUP-1050,Taiwan/Taipei
PO-91405,GRN100112503,ITM-005,Logic Chip,PCS,1116,SUP-1050,Taiwan/Taipei
PO-91406,GRN100112504,ITM-001,High Precision Resistor,PCS,1865,SUP-1001,Taiwan/Taipei
PO-91407,GRN100112505,ITM-002,Thermal Paste,TUB,1714,SUP-1001,Taiwan/Taipei
PO-91408,GRN100112506,ITM-003,Capacitor 100uF,PCS,1629,SUP-1001,US/New York
PO-91409,GRN100112507,ITM-004,Silicone Sealant,TUB,1319,SUP-1001,Taiwan/Taipei
PO-91410,GRN100112508,ITM-005,Logic Chip,PCS,1774,SUP-1001,Taiwan/Taipei
PO-91411,GRN100112509,ITM-001,High Precision Resistor,PCS,1744,SUP-1002,Philippines/Manila
PO-91412,GRN100112510,ITM-002,Thermal Paste,TUB,1581,SUP-1002,Taiwan/Taipei
PO-91413,GRN100112511,ITM-003,Capacitor 100uF,PCS,1385,SUP-1002,US/New York
PO-91414,GRN100112512,ITM-004,Silicone Sealant,TUB,919,SUP-1002,US/New York
PO-91415,GRN100112513,ITM-005,Logic Chip,PCS,1943,SUP-1002,Philippines/Manila
PO-91416,GRN100112514,ITM-001,High Precision Resistor,PCS,683,SUP-1003,US/New York
PO-91417,GRN100112515,ITM-002,Thermal Paste,TUB,1768,SUP-1003,Taiwan/Taipei
PO-91418,GRN100112516,ITM-003,Capacitor 100uF,PCS,661,SUP-1003,US/New York
PO-91419,GRN100112517,ITM-004,Silicone Sealant,TUB,1534,SUP-1003,Taiwan/Taipei
PO-91420,GRN100112518,ITM-005,Logic Chip,PCS,1788,SUP-1003,US/New York
PO-91421,GRN100112519,ITM-001,High Precision Resistor,PCS,1310,SUP-1004,US/New York
PO-91422,GRN100112520,ITM-002,Thermal Paste,TUB,1171,SUP-1004,Philippines/Manila
PO-91423,GRN100112521,ITM-003,Capacitor 100uF,PCS,652,SUP-1004,Taiwan/Taipei
PO-91424,GRN100112522,ITM-004,Silicone Sealant,TUB,1705,SUP-1004,US/New York
PO-91425,GRN100112523,ITM-005,Logic Chip,PCS,1711,SUP-1004,US/New York
PO-91426,GRN100112524,ITM-001,High Precision Resistor,PCS,1159,SUP-1005,US/New York
PO-91427,GRN100112525,ITM-002,Thermal Paste,TUB,1418,SUP-1005,Philippines/Manila
PO-91428,GRN100112526,ITM-003,Capacitor 100uF,PCS,686,SUP-1005,Philippines/Manila
PO-91429,GRN100112527,ITM-004,Silicone Sealant,TUB,1135,SUP-1005,US/New York
PO-91430,GRN100112528,ITM-005,Logic Chip,PCS,534,SUP-1005,Philippines/Manila
PO-91431,GRN100112529,ITM-001,High Precision Resistor,PCS,1667,SUP-1006,US/New York
PO-91432,GRN100112530,ITM-002,Thermal Paste,TUB,503,SUP-1006,Philippines/Manila
PO-91433,GRN100112531,ITM-003,Capacitor 100uF,PCS,1595,SUP-1006,Philippines/Manila
PO-91434,GRN100112532,ITM-004,Silicone Sealant,TUB,950,SUP-1006,Philippines/Manila
PO-91435,GRN100112533,ITM-005,Logic Chip,PCS,1397,SUP-1006,Philippines/Manila
PO-91436,GRN100112534,ITM-001,High Precision Resistor,PCS,1375,SUP-1007,Philippines/Manila
PO-91437,GRN100112535,ITM-002,Thermal Paste,TUB,1343,SUP-1007,Philippines/Manila
PO-91438,GRN100112536,ITM-003,Capacitor 100uF,PCS,646,SUP-1007,US/New York
PO-91439,GRN100112537,ITM-004,Silicone Sealant,TUB,735,SUP-1007,Taiwan/Taipei
PO-91440,GRN100112538,ITM-005,Logic Chip,PCS,1181,SUP-1007,Philippines/Manila
PO-91441,GRN100112539,ITM-001,High Precision Resistor,PCS,854,SUP-1008,US/New York
PO-91442,GRN100112540,ITM-002,Thermal Paste,TUB,1238,SUP-1008,Taiwan/Taipei
PO-91443,GRN100112541,ITM-003,Capacitor 100uF,PCS,1703,SUP-1008,Philippines/Manila
PO-91444,GRN100112542,ITM-004,Silicone Sealant,TUB,1318,SUP-1008,Philippines/Manila
PO-91445,GRN100112543,ITM-005,Logic Chip,PCS,473,SUP-1008,Taiwan/Taipei
PO-91446,GRN100112544,ITM-001,High Precision Resistor,PCS,830,SUP-1009,US/New York
PO-91447,GRN100112545,ITM-002,Thermal Paste,TUB,1321,SUP-1009,US/New York
PO-91448,GRN100112546,ITM-003,Capacitor 100uF,PCS,679,SUP-1009,Taiwan/Taipei
PO-91449,GRN100112547,ITM-004,Silicone Sealant,TUB,994,SUP-1009,Taiwan/Taipei
PO-91450,GRN100112548,ITM-005,Logic Chip,PCS,1358,SUP-1009,Philippines/Manila
PO-91451,GRN100112549,ITM-001,High Precision Resistor,PCS,942,SUP-1010,Taiwan/Taipei
PO-91452,GRN100112550,ITM-002,Thermal Paste,TUB,649,SUP-1010,Philippines/Manila
PO-91453,GRN100112551,ITM-003,Capacitor 100uF,PCS,1280,SUP-1010,Philippines/Manila
PO-91454,GRN100112552,ITM-004,Silicone Sealant,TUB,1620,SUP-1010,Taiwan/Taipei
PO-91455,GRN100112553,ITM-005,Logic Chip,PCS,810,SUP-1010,US/New York
PO-91456,GRN100112554,ITM-001,High Precision Resistor,PCS,1207,SUP-1011,US/New York
PO-91457,GRN100112555,ITM-002,Thermal Paste,TUB,1348,SUP-1011,Philippines/Manila
PO-91458,GRN100112556,ITM-003,Capacitor 100uF,PCS,1710,SUP-1011,Taiwan/Taipei
PO-91459,GRN100112557,ITM-004,Silicone Sealant,TUB,852,SUP-1011,Philippines/Manila
PO-91460,GRN100112558,ITM-005,Logic Chip,PCS,565,SUP-1011,US/New York
PO-91461,GRN100112559,ITM-001,High Precision Resistor,PCS,1090,SUP-1012,Taiwan/Taipei
PO-91462,GRN100112560,ITM-002,Thermal Paste,TUB,1208,SUP-1012,Taiwan/Taipei
PO-91463,GRN100112561,ITM-003,Capacitor 100uF,PCS,535,SUP-1012,Philippines/Manila
PO-91464,GRN100112562,ITM-004,Silicone Sealant,TUB,749,SUP-1012,Taiwan/Taipei
PO-91465,GRN100112563,ITM-005,Logic Chip,PCS,944,SUP-1012,Taiwan/Taipei
PO-91466,GRN100112564,ITM-001,High Precision Resistor,PCS,908,SUP-1013,US/New York
PO-91467,GRN100112565,ITM-002,Thermal Paste,TUB,1214,SUP-1013,US/New York
PO-91468,GRN100112566,ITM-003,Capacitor 100uF,PCS,938,SUP-1013,Philippines/Manila
PO-91469,GRN100112567,ITM-004,Silicone Sealant,TUB,1730,SUP-1013,Taiwan/Taipei
PO-91470,GRN100112568,ITM-005,Logic Chip,PCS,1466,SUP-1013,Philippines/Manila
PO-91471,GRN100112569,ITM-001,High Precision Resistor,PCS,781,SUP-1014,Taiwan/Taipei
PO-91472,GRN100112570,ITM-002,Thermal Paste,TUB,1362,SUP-1014,Philippines/Manila
PO-91473,GRN100112571,ITM-003,Capacitor 100uF,PCS,1633,SUP-1014,US/New York
PO-91474,GRN100112572,ITM-004,Silicone Sealant,TUB,1680,SUP-1014,US/New York
PO-91475,GRN100112573,ITM-005,Logic Chip,PCS,1219,SUP-1014,Philippines/Manila
PO-91476,GRN100112574,ITM-001,High Precision Resistor,PCS,1158,SUP-1015,Philippines/Manila
PO-91477,GRN100112575,ITM-002,Thermal Paste,TUB,1706,SUP-1015,US/New York
PO-91478,GRN100112576,ITM-003,Capacitor 100uF,PCS,1200,SUP-1015,Philippines/Manila
PO-91479,GRN100112577,ITM-004,Silicone Sealant,TUB,1192,SUP-1015,Philippines/Manila
PO-91480,GRN100112578,ITM-005,Logic Chip,PCS,1160,SUP-1015,Philippines/Manila
PO-91481,GRN100112579,ITM-001,High Precision Resistor,PCS,1765,SUP-1016,Philippines/Manila
PO-91482,GRN100112580,ITM-002,Thermal Paste,TUB,1146,SUP-1016,US/New York
PO-91483,GRN100112581,ITM-003,Capacitor 100uF,PCS,1857,SUP-1016,US/New York
PO-91484,GRN100112582,ITM-004,Silicone Sealant,TUB,1035,SUP-1016,Philippines/Manila
PO-91485,GRN100112583,ITM-005,Logic Chip,PCS,1617,SUP-1016,US/New York
PO-91486,GRN100112584,ITM-001,High Precision Resistor,PCS,1815,SUP-1017,US/New York
PO-91487,GRN100112585,ITM-002,Thermal Paste,TUB,744,SUP-1017,Philippines/Manila
PO-91488,GRN100112586,ITM-003,Capacitor 100uF,PCS,1177,SUP-1017,Philippines/Manila
PO-91489,GRN100112587,ITM-004,Silicone Sealant,TUB,1370,SUP-1017,US/New York
PO-91490,GRN100112588,ITM-005,Logic Chip,PCS,1388,SUP-1017,Taiwan/Taipei
PO-91491,GRN100112589,ITM-001,High Precision Resistor,PCS,497,SUP-1018,Taiwan/Taipei
PO-91492,GRN100112590,ITM-002,Thermal Paste,TUB,1759,SUP-1018,US/New York
PO-91493,GRN100112591,ITM-003,Capacitor 100uF,PCS,1752,SUP-1018,US/New York
PO-91494,GRN100112592,ITM-004,Silicone Sealant,TUB,1423,SUP-1018,Taiwan/Taipei
PO-91495,GRN100112593,ITM-005,Logic Chip,PCS,571,SUP-1018,US/New York
PO-91496,GRN100112594,ITM-001,High Precision Resistor,PCS,638,SUP-1019,Philippines/Manila
PO-91497,GRN100112595,ITM-002,Thermal Paste,TUB,1073,SUP-1019,Taiwan/Taipei
PO-91498,GRN100112596,ITM-003,Capacitor 100uF,PCS,1364,SUP-1019,Philippines/Manila
PO-91499,GRN100112597,ITM-004,Silicone Sealant,TUB,1586,SUP-1019,Taiwan/Taipei
PO-91500,GRN100112598,ITM-005,Logic Chip,PCS,1166,SUP-1019,Taiwan/Taipei
PO-91501,GRN100112599,ITM-001,High Precision Resistor,PCS,534,SUP-1020,Taiwan/Taipei
PO-91502,GRN100112600,ITM-002,Thermal Paste,TUB,1020,SUP-1020,Taiwan/Taipei
PO-91503,GRN100112601,ITM-003,Capacitor 100uF,PCS,1724,SUP-1020,Taiwan/Taipei
PO-91504,GRN100112602,ITM-004,Silicone Sealant,TUB,634,SUP-1020,Taiwan/Taipei
PO-91505,GRN100112603,ITM-005,Logic Chip,PCS,1932,SUP-1020,US/New York
PO-91506,GRN100112604,ITM-001,High Precision Resistor,PCS,1447,SUP-1021,Taiwan/Taipei
PO-91507,GRN100112605,ITM-002,Thermal Paste,TUB,1822,SUP-1021,US/New York
PO-91508,GRN100112606,ITM-003,Capacitor 100uF,PCS,1607,SUP-1021,US/New York
PO-91509,GRN100112607,ITM-004,Silicone Sealant,TUB,579,SUP-1021,Philippines/Manila
PO-91510,GRN100112608,ITM-005,Logic Chip,PCS,1050,SUP-1021,US/New York
PO-91511,GRN100112609,ITM-001,High Precision Resistor,PCS,1835,SUP-1022,US/New York
PO-91512,GRN100112610,ITM-002,Thermal Paste,TUB,1140,SUP-1022,Philippines/Manila
PO-91513,GRN100112611,ITM-003,Capacitor 100uF,PCS,820,SUP-1022,US/New York
PO-91514,GRN100112612,ITM-004,Silicone Sealant,TUB,955,SUP-1022,Taiwan/Taipei
PO-91515,GRN100112613,ITM-005,Logic Chip,PCS,1805,SUP-1022,Philippines/Manila
PO-91516,GRN100112614,ITM-001,High Precision Resistor,PCS,523,SUP-1023,US/New York
PO-91517,GRN100112615,ITM-002,Thermal Paste,TUB,838,SUP-1023,Taiwan/Taipei
PO-91518,GRN100112616,ITM-003,Capacitor 100uF,PCS,1007,SUP-1023,Philippines/Manila
PO-91519,GRN100112617,ITM-004,Silicone Sealant,TUB,1582,SUP-1023,Philippines/Manila
PO-91520,GRN100112618,ITM-005,Logic Chip,PCS,1331,SUP-1023,US/New York
PO-91521,GRN100112619,ITM-001,High Precision Resistor,PCS,1676,SUP-1024,Taiwan/Taipei
PO-91522,GRN100112620,ITM-002,Thermal Paste,TUB,1302,SUP-1024,Taiwan/Taipei
PO-91523,GRN100112621,ITM-003,Capacitor 100uF,PCS,537,SUP-1024,US/New York
PO-91524,GRN100112622,ITM-004,Silicone Sealant,TUB,780,SUP-1024,Philippines/Manila
PO-91525,GRN100112623,ITM-005,Logic Chip,PCS,1559,SUP-1024,Taiwan/Taipei
PO-91526,GRN100112624,ITM-001,High Precision Resistor,PCS,888,SUP-1025,Taiwan/Taipei
PO-91527,GRN100112625,ITM-002,Thermal Paste,TUB,1543,SUP-1025,Taiwan/Taipei
PO-91528,GRN100112626,ITM-003,Capacitor 100uF,PCS,1189,SUP-1025,Taiwan/Taipei
PO-91529,GRN100112627,ITM-004,Silicone Sealant,TUB,623,SUP-1025,Philippines/Manila
PO-91530,GRN100112628,ITM-005,Logic Chip,PCS,1838,SUP-1025,Philippines/Manila
PO-91531,GRN100112629,ITM-001,High Precision Resistor,PCS,584,SUP-1026,Taiwan/Taipei
PO-91532,GRN100112630,ITM-002,Thermal Paste,TUB,960,SUP-1026,US/New York
PO-91533,GRN100112631,ITM-003,Capacitor 100uF,PCS,612,SUP-1026,Philippines/Manila
PO-91534,GRN100112632,ITM-004,Silicone Sealant,TUB,1184,SUP-1026,Philippines/Manila
PO-91535,GRN100112633,ITM-005,Logic Chip,PCS,1369,SUP-1026,Philippines/Manila
PO-91536,GRN100112634,ITM-001,High Precision Resistor,PCS,606,SUP-1027,Taiwan/Taipei
PO-91537,GRN100112635,ITM-002,Thermal Paste,TUB,1730,SUP-1027,Philippines/Manila
PO-91538,GRN100112636,ITM-003,Capacitor 100uF,PCS,922,SUP-1027,US/New York
PO-91539,GRN100112637,ITM-004,Silicone Sealant,TUB,566,SUP-1027,Philippines/Manila
PO-91540,GRN100112638,ITM-005,Logic Chip,PCS,925,SUP-1027,Taiwan/Taipei
PO-91541,GRN100112639,ITM-001,High Precision Resistor,PCS,1555,SUP-1028,US/New York
PO-91542,GRN100112640,ITM-002,Thermal Paste,TUB,1299,SUP-1028,Philippines/Manila
PO-91543,GRN100112641,ITM-003,Capacitor 100uF,PCS,1051,SUP-1028,Philippines/Manila
PO-91544,GRN100112642,ITM-004,Silicone Sealant,TUB,1368,SUP-1028,US/New York
PO-91545,GRN100112643,ITM-005,Logic Chip,PCS,843,SUP-1028,Philippines/Manila
PO-91546,GRN100112644,ITM-001,High Precision Resistor,PCS,523,SUP-1029,Philippines/Manila
PO-91547,GRN100112645,ITM-002,Thermal Paste,TUB,875,SUP-1029,Philippines/Manila
PO-91548,GRN100112646,ITM-003,Capacitor 100uF,PCS,884,SUP-1029,Philippines/Manila
PO-91549,GRN100112647,ITM-004,Silicone Sealant,TUB,1330,SUP-1029,US/New York
PO-91550,GRN100112648,ITM-005,Logic Chip,PCS,1392,SUP-1029,Philippines/Manila
PO-91551,GRN100112649,ITM-001,High Precision Resistor,PCS,1177,SUP-1030,Philippines/Manila
PO-91552,GRN100112650,ITM-002,Thermal Paste,TUB,1544,SUP-1030,US/New York
PO-91553,GRN100112651,ITM-003,Capacitor 100uF,PCS,1439,SUP-1030,US/New York
PO-91554,GRN100112652,ITM-004,Silicone Sealant,TUB,1441,SUP-1030,Taiwan/Taipei
PO-91555,GRN100112653,ITM-005,Logic Chip,PCS,1739,SUP-1030,US/New York
PO-91556,GRN100112654,ITM-001,High Precision Resistor,PCS,1005,SUP-1031,Taiwan/Taipei
PO-91557,GRN100112655,ITM-002,Thermal Paste,TUB,1201,SUP-1031,US/New York
PO-91558,GRN100112656,ITM-003,Capacitor 100uF,PCS,954,SUP-1031,US/New York
PO-91559,GRN100112657,ITM-004,Silicone Sealant,TUB,1199,SUP-1031,Taiwan/Taipei
PO-91560,GRN100112658,ITM-005,Logic Chip,PCS,1820,SUP-1031,US/New York
PO-91561,GRN100112659,ITM-001,High Precision Resistor,PCS,1064,SUP-1032,Philippines/Manila
PO-91562,GRN100112660,ITM-002,Thermal Paste,TUB,1765,SUP-1032,Philippines/Manila
PO-91563,GRN100112661,ITM-003,Capacitor 100uF,PCS,1231,SUP-1032,Philippines/Manila
PO-91564,GRN100112662,ITM-004,Silicone Sealant,TUB,1542,SUP-1032,US/New York
PO-91565,GRN100112663,ITM-005,Logic Chip,PCS,1513,SUP-1032,Philippines/Manila
PO-91566,GRN100112664,ITM-001,High Precision Resistor,PCS,1620,SUP-1033,US/New York
PO-91567,GRN100112665,ITM-002,Thermal Paste,TUB,1713,SUP-1033,Taiwan/Taipei
PO-91568,GRN100112666,ITM-003,Capacitor 100uF,PCS,1434,SUP-1033,Taiwan/Taipei
PO-91569,GRN100112667,ITM-004,Silicone Sealant,TUB,744,SUP-1033,Philippines/Manila
PO-91570,GRN100112668,ITM-005,Logic Chip,PCS,1304,SUP-1033,US/New York
PO-91571,GRN100112669,ITM-001,High Precision Resistor,PCS,565,SUP-1034,Taiwan/Taipei
PO-91572,GRN100112670,ITM-002,Thermal Paste,TUB,1577,SUP-1034,US/New York
PO-91573,GRN100112671,ITM-003,Capacitor 100uF,PCS,1533,SUP-1034,Taiwan/Taipei
PO-91574,GRN100112672,ITM-004,Silicone Sealant,TUB,699,SUP-1034,Philippines/Manila
PO-91575,GRN100112673,ITM-005,Logic Chip,PCS,949,SUP-1034,US/New York
PO-91576,GRN100112674,ITM-001,High Precision Resistor,PCS,1190,SUP-1035,US/New York
PO-91577,GRN100112675,ITM-002,Thermal Paste,TUB,1597,SUP-1035,Taiwan/Taipei
PO-91578,GRN100112676,ITM-003,Capacitor 100uF,PCS,1473,SUP-1035,Philippines/Manila
PO-91579,GRN100112677,ITM-004,Silicone Sealant,TUB,1283,SUP-1035,Philippines/Manila
PO-91580,GRN100112678,ITM-005,Logic Chip,PCS,1018,SUP-1035,Taiwan/Taipei
PO-91581,GRN100112679,ITM-001,High Precision Resistor,PCS,1200,SUP-1036,Taiwan/Taipei
PO-91582,GRN100112680,ITM-002,Thermal Paste,TUB,1464,SUP-1036,Philippines/Manila
PO-91583,GRN100112681,ITM-003,Capacitor 100uF,PCS,651,SUP-1036,Philippines/Manila
PO-91584,GRN100112682,ITM-004,Silicone Sealant,TUB,1884,SUP-1036,Philippines/Manila
PO-91585,GRN100112683,ITM-005,Logic Chip,PCS,481,SUP-1036,Philippines/Manila
PO-91586,GRN100112684,ITM-001,High Precision Resistor,PCS,1345,SUP-1037,Philippines/Manila
PO-91587,GRN100112685,ITM-002,Thermal Paste,TUB,1345,SUP-1037,Taiwan/Taipei
PO-91588,GRN100112686,ITM-003,Capacitor 100uF,PCS,798,SUP-1037,Taiwan/Taipei
PO-91589,GRN100112687,ITM-004,Silicone Sealant,TUB,684,SUP-1037,Philippines/Manila
PO-91590,GRN100112688,ITM-005,Logic Chip,PCS,1667,SUP-1037,US/New York
PO-91591,GRN100112689,ITM-001,High Precision Resistor,PCS,1850,SUP-1038,Taiwan/Taipei
PO-91592,GRN100112690,ITM-002,Thermal Paste,TUB,1353,SUP-1038,Taiwan/Taipei
PO-91593,GRN100112691,ITM-003,Capacitor 100uF,PCS,1390,SUP-1038,US/New York
PO-91594,GRN100112692,ITM-004,Silicone Sealant,TUB,1870,SUP-1038,US/New York
PO-91595,GRN100112693,ITM-005,Logic Chip,PCS,1629,SUP-1038,Philippines/Manila
PO-91596,GRN100112694,ITM-001,High Precision Resistor,PCS,668,SUP-1039,US/New York
PO-91597,GRN100112695,ITM-002,Thermal Paste,TUB,823,SUP-1039,Taiwan/Taipei
PO-91598,GRN100112696,ITM-003,Capacitor 100uF,PCS,639,SUP-1039,US/New York
PO-91599,GRN100112697,ITM-004,Silicone Sealant,TUB,1073,SUP-1039,Philippines/Manila
PO-91600,GRN100112698,ITM-005,Logic Chip,PCS,1208,SUP-1039,Philippines/Manila
PO-91601,GRN100112699,ITM-001,High Precision Resistor,PCS,1423,SUP-1040,Philippines/Manila
PO-91602,GRN100112700,ITM-002,Thermal Paste,TUB,974,SUP-1040,Philippines/Manila
PO-91603,GRN100112701,ITM-003,Capacitor 100uF,PCS,703,SUP-1040,Taiwan/Taipei
PO-91604,GRN100112702,ITM-004,Silicone Sealant,TUB,1509,SUP-1040,Philippines/Manila
PO-91605,GRN100112703,ITM-005,Logic Chip,PCS,765,SUP-1040,US/New York
PO-91606,GRN100112704,ITM-001,High Precision Resistor,PCS,1685,SUP-1041,Philippines/Manila
PO-91607,GRN100112705,ITM-002,Thermal Paste,TUB,1117,SUP-1041,Philippines/Manila
PO-91608,GRN100112706,ITM-003,Capacitor 100uF,PCS,1373,SUP-1041,Taiwan/Taipei
PO-91609,GRN100112707,ITM-004,Silicone Sealant,TUB,1926,SUP-1041,Philippines/Manila
PO-91610,GRN100112708,ITM-005,Logic Chip,PCS,757,SUP-1041,Taiwan/Taipei
PO-91611,GRN100112709,ITM-001,High Precision Resistor,PCS,1932,SUP-1042,Taiwan/Taipei
PO-91612,GRN100112710,ITM-002,Thermal Paste,TUB,542,SUP-1042,US/New York
PO-91613,GRN100112711,ITM-003,Capacitor 100uF,PCS,622,SUP-1042,Taiwan/Taipei
PO-91614,GRN100112712,ITM-004,Silicone Sealant,TUB,1187,SUP-1042,Taiwan/Taipei
PO-91615,GRN100112713,ITM-005,Logic Chip,PCS,1001,SUP-1042,US/New York
PO-91616,GRN100112714,ITM-001,High Precision Resistor,PCS,935,SUP-1043,US/New York
PO-91617,GRN100112715,ITM-002,Thermal Paste,TUB,886,SUP-1043,Philippines/Manila
PO-91618,GRN100112716,ITM-003,Capacitor 100uF,PCS,590,SUP-1043,Taiwan/Taipei
PO-91619,GRN100112717,ITM-004,Silicone Sealant,TUB,1777,SUP-1043,Taiwan/Taipei
PO-91620,GRN100112718,ITM-005,Logic Chip,PCS,1067,SUP-1043,US/New York
PO-91621,GRN100112719,ITM-001,High Precision Resistor,PCS,919,SUP-1044,Philippines/Manila
PO-91622,GRN100112720,ITM-002,Thermal Paste,TUB,1339,SUP-1044,Taiwan/Taipei
PO-91623,GRN100112721,ITM-003,Capacitor 100uF,PCS,566,SUP-1044,Philippines/Manila
PO-91624,GRN100112722,ITM-004,Silicone Sealant,TUB,1124,SUP-1044,Philippines/Manila
PO-91625,GRN100112723,ITM-005,Logic Chip,PCS,878,SUP-1044,Philippines/Manila
PO-91626,GRN100112724,ITM-001,High Precision Resistor,PCS,762,SUP-1045,US/New York
PO-91627,GRN100112725,ITM-002,Thermal Paste,TUB,1664,SUP-1045,Philippines/Manila
PO-91628,GRN100112726,ITM-003,Capacitor 100uF,PCS,1103,SUP-1045,Philippines/Manila
PO-91629,GRN100112727,ITM-004,Silicone Sealant,TUB,1367,SUP-1045,Philippines/Manila
PO-91630,GRN100112728,ITM-005,Logic Chip,PCS,767,SUP-1045,US/New York
PO-91631,GRN100112729,ITM-001,High Precision Resistor,PCS,811,SUP-1046,Taiwan/Taipei
